name,cd_nom,lb_nom_key,label,regne
45273,45273,Abrothallus suecicus,Abrothallus suecicus{45273},Fungi
665636,665636,Abrothallus tulasnei,Abrothallus tulasnei{665636},Fungi
45274,45274,Abrothallus usneae,Abrothallus usneae{45274},Fungi
770493,770493,Abrus minor,Abrus minor{770493},Plantae
447155,447155,Abrus precatorius (#ref),Abrus precatorius (#ref){447155},Plantae
707103,707103,Abrus precatorius subsp. africanus (#ref),Abrus precatorius subsp. africanus (#ref){707103},Plantae
448770,448770,Abrus precatorius subsp. precatorius (#ref),Abrus precatorius subsp. precatorius (#ref){448770},Plantae
445652,445652,Abrus (#ref),Abrus (#ref){445652},Plantae
79368,79368,Abryanthemum acinaciforme,Abryanthemum acinaciforme{79368},Plantae
79660,79660,Abryanthemum edule,Abryanthemum edule{79660},Plantae
56238,56238,Absconditella delutula (#ref),Absconditella delutula (#ref){56238},Fungi
660447,660447,Absconditella fossarum (#ref),Absconditella fossarum (#ref){660447},Fungi
660446,660446,Absconditella lignicola (#ref),Absconditella lignicola (#ref){660446},Fungi
665634,665634,Absconditella modesta,Absconditella modesta{665634},Fungi
56243,56243,Absconditella pauxilla (#ref),Absconditella pauxilla (#ref){56243},Fungi
188676,188676,Absconditella (#ref),Absconditella (#ref){188676},Fungi
45276,45276,Absconditella sphagnorum (#ref),Absconditella sphagnorum (#ref){45276},Fungi
394925,394925,Absidia discreta,Absidia discreta{394925},Animalia
79661,79661,Absinthium arborescens,Absinthium arborescens{79661},Plantae
79662,79662,Absinthium arborescens,Absinthium arborescens{79662},Plantae
79663,79663,Absinthium campestre,Absinthium campestre{79663},Plantae
79664,79664,Absinthium camphoratum,Absinthium camphoratum{79664},Plantae
79665,79665,Absinthium cernuum,Absinthium cernuum{79665},Plantae
79666,79666,Absinthium congestum,Absinthium congestum{79666},Plantae
79668,79668,Absinthium glaciale,Absinthium glaciale{79668},Plantae
79667,79667,Absinthium glaciale,Absinthium glaciale{79667},Plantae
79669,79669,Absinthium laxum,Absinthium laxum{79669},Plantae
79670,79670,Absinthium mutellina,Absinthium mutellina{79670},Plantae
79671,79671,Absinthium officinale,Absinthium officinale{79671},Plantae
79672,79672,Absinthium rupestre,Absinthium rupestre{79672},Plantae
79673,79673,Absinthium spicatum,Absinthium spicatum{79673},Plantae
79674,79674,Absinthium tanacetifolium,Absinthium tanacetifolium{79674},Plantae
79675,79675,Absinthium tenuifolium,Absinthium tenuifolium{79675},Plantae
79676,79676,Absinthium trifidum,Absinthium trifidum{79676},Plantae
79678,79678,Absinthium vulgare,Absinthium vulgare{79678},Plantae
79677,79677,Absinthium vulgare,Absinthium vulgare{79677},Plantae
392965,392965,Absolonia diversipes,Absolonia diversipes{392965},Animalia
216048,216048,Absolonia gigantea (#ref),Absolonia gigantea (#ref){216048},Animalia
203161,203161,Absolonia (#ref),Absolonia (#ref){203161},Animalia
439443,439443,Absonemobius guyanensis (#ref),Absonemobius guyanensis (#ref){439443},Animalia
439444,439444,Absonemobius minor (#ref),Absonemobius minor (#ref){439444},Animalia
437949,437949,Absonemobius (#ref),Absonemobius (#ref){437949},Animalia
209744,209744,Absyrtus (#ref),Absyrtus (#ref){209744},Animalia
230491,230491,Absyrtus vernalis (#ref),Absyrtus vernalis (#ref){230491},Animalia
230492,230492,Absyrtus vicinator (#ref),Absyrtus vicinator (#ref){230492},Animalia
747424,747424,Abtrichia (#ref),Abtrichia (#ref){747424},Animalia
758456,758456,Abtrichia veva (#ref),Abtrichia veva (#ref){758456},Animalia
423075,423075,Abudefduf abdominalis (#ref),Abudefduf abdominalis (#ref){423075},Animalia
553729,553729,Abudefduf analogus,Abudefduf analogus{553729},Animalia
549237,549237,Abudefduf annulatus,Abudefduf annulatus{549237},Animalia
557431,557431,Abudefduf ascensionis,Abudefduf ascensionis{557431},Animalia
557432,557432,Abudefduf assimilis,Abudefduf assimilis{557432},Animalia
557433,557433,Abudefduf atrapinna,Abudefduf atrapinna{557433},Animalia
557434,557434,Abudefduf aureus,Abudefduf aureus{557434},Animalia
693555,693555,Abudefduf bankieri,Abudefduf bankieri{693555},Animalia
557435,557435,Abudefduf behnii,Abudefduf behnii{557435},Animalia
557436,557436,Abudefduf bimaculatus,Abudefduf bimaculatus{557436},Animalia
549234,549234,Abudefduf biocellatus,Abudefduf biocellatus{549234},Animalia
557437,557437,Abudefduf caesio,Abudefduf caesio{557437},Animalia
557438,557438,Abudefduf caroli,Abudefduf caroli{557438},Animalia
557439,557439,Abudefduf caudobimaculatus,Abudefduf caudobimaculatus{557439},Animalia
549220,549220,Abudefduf cingulum,Abudefduf cingulum{549220},Animalia
557440,557440,Abudefduf clarki,Abudefduf clarki{557440},Animalia
555288,555288,Abudefduf cochinensis,Abudefduf cochinensis{555288},Animalia
549235,549235,Abudefduf coelestinus,Abudefduf coelestinus{549235},Animalia
615322,615322,Abudefduf conformis (#ref),Abudefduf conformis (#ref){615322},Animalia
557441,557441,Abudefduf coracinus,Abudefduf coracinus{557441},Animalia
557442,557442,Abudefduf corneyi,Abudefduf corneyi{557442},Animalia
555289,555289,Abudefduf curacao,Abudefduf curacao{555289},Animalia
555290,555290,Abudefduf cyaneus,Abudefduf cyaneus{555290},Animalia
704423,704423,Abudefduf dasygenys,Abudefduf dasygenys{704423},Animalia
557443,557443,Abudefduf dicki,Abudefduf dicki{557443},Animalia
549236,549236,Abudefduf dickii,Abudefduf dickii{549236},Animalia
557444,557444,Abudefduf elizabethae,Abudefduf elizabethae{557444},Animalia
557445,557445,Abudefduf filifer,Abudefduf filifer{557445},Animalia
555292,555292,Abudefduf flavipinnis,Abudefduf flavipinnis{555292},Animalia
557446,557446,Abudefduf florulentus,Abudefduf florulentus{557446},Animalia
697559,697559,Abudefduf fuliginosus,Abudefduf fuliginosus{697559},Animalia
549226,549226,Abudefduf glaucus,Abudefduf glaucus{549226},Animalia
549222,549222,Abudefduf imparipennis,Abudefduf imparipennis{549222},Animalia
557447,557447,Abudefduf iwasakii,Abudefduf iwasakii{557447},Animalia
557448,557448,Abudefduf jordani,Abudefduf jordani{557448},Animalia
549233,549233,Abudefduf lacrymatus,Abudefduf lacrymatus{549233},Animalia
549223,549223,Abudefduf leucogaster,Abudefduf leucogaster{549223},Animalia
549225,549225,Abudefduf leucozona,Abudefduf leucozona{549225},Animalia
557449,557449,Abudefduf leucozonus,Abudefduf leucozonus{557449},Animalia
578177,578177,Abudefduf lorentzi,Abudefduf lorentzi{578177},Animalia
423076,423076,Abudefduf lorenzi (#ref),Abudefduf lorenzi (#ref){423076},Animalia
423101,423101,Abudefduf margariteus (#ref),Abudefduf margariteus (#ref){423101},Animalia
557450,557450,Abudefduf marginatus,Abudefduf marginatus{557450},Animalia
557451,557451,Abudefduf melanocarpus,Abudefduf melanocarpus{557451},Animalia
677079,677079,Abudefduf melanopselion,Abudefduf melanopselion{677079},Animalia
549227,549227,Abudefduf melanopus,Abudefduf melanopus{549227},Animalia
557452,557452,Abudefduf melanozonatus,Abudefduf melanozonatus{557452},Animalia
549231,549231,Abudefduf melas,Abudefduf melas{549231},Animalia
696348,696348,Abudefduf metallicus,Abudefduf metallicus{696348},Animalia
557453,557453,Abudefduf miyakoe,Abudefduf miyakoe{557453},Animalia
557454,557454,Abudefduf multifasciatus,Abudefduf multifasciatus{557454},Animalia
423102,423102,Abudefduf natalensis (#ref),Abudefduf natalensis (#ref){423102},Animalia
423103,423103,Abudefduf notatus (#ref),Abudefduf notatus (#ref){423103},Animalia
557455,557455,Abudefduf paee,Abudefduf paee{557455},Animalia
555293,555293,Abudefduf philippinus,Abudefduf philippinus{555293},Animalia
555294,555294,Abudefduf phoenixensis,Abudefduf phoenixensis{555294},Animalia
578184,578184,Abudefduf quinquelineatus,Abudefduf quinquelineatus{578184},Animalia
549229,549229,Abudefduf quinquilineatus,Abudefduf quinquilineatus{549229},Animalia
188677,188677,Abudefduf (#ref),Abudefduf (#ref){188677},Animalia
557456,557456,Abudefduf rex,Abudefduf rex{557456},Animalia
557457,557457,Abudefduf rhomaleus,Abudefduf rhomaleus{557457},Animalia
549224,549224,Abudefduf rhyncholepis,Abudefduf rhyncholepis{549224},Animalia
557458,557458,Abudefduf richardsoni,Abudefduf richardsoni{557458},Animalia
557459,557459,Abudefduf sapphirus,Abudefduf sapphirus{557459},Animalia
423104,423104,Abudefduf saxatilis (#ref),Abudefduf saxatilis (#ref){423104},Animalia
578179,578179,Abudefduf saxiatilis,Abudefduf saxiatilis{578179},Animalia
423105,423105,Abudefduf septemfasciatus (#ref),Abudefduf septemfasciatus (#ref){423105},Animalia
578180,578180,Abudefduf sexatilis,Abudefduf sexatilis{578180},Animalia
423106,423106,Abudefduf sexfasciatus (#ref),Abudefduf sexfasciatus (#ref){423106},Animalia
423077,423077,Abudefduf sordidus (#ref),Abudefduf sordidus (#ref){423077},Animalia
423078,423078,Abudefduf sparoides (#ref),Abudefduf sparoides (#ref){423078},Animalia
557460,557460,Abudefduf starcki,Abudefduf starcki{557460},Animalia
557461,557461,Abudefduf tamaii,Abudefduf tamaii{557461},Animalia
557462,557462,Abudefduf taupou,Abudefduf taupou{557462},Animalia
423079,423079,Abudefduf taurus (#ref),Abudefduf taurus (#ref){423079},Animalia
557463,557463,Abudefduf tridentatus,Abudefduf tridentatus{557463},Animalia
650428,650428,Abudefduf troschelii (#ref),Abudefduf troschelii (#ref){650428},Animalia
583302,583302,Abudefduf tsamaii,Abudefduf tsamaii{583302},Animalia
557464,557464,Abudefduf turchesius,Abudefduf turchesius{557464},Animalia
555296,555296,Abudefduf uniocellatus,Abudefduf uniocellatus{555296},Animalia
578181,578181,Abudefduf vaigensis,Abudefduf vaigensis{578181},Animalia
423080,423080,Abudefduf vaigiensis (#ref),Abudefduf vaigiensis (#ref){423080},Animalia
578182,578182,Abudefduf vargensis,Abudefduf vargensis{578182},Animalia
423081,423081,Abudefduf whitleyi (#ref),Abudefduf whitleyi (#ref){423081},Animalia
